username,full_text,cleaned_text
hapuskanpinjol,@abu_waras beda org memang dia nama ya pegi tapi beda kota beda ortu udah ada klarifikasi y,"['beda', 'orang', 'memang', 'nama', 'pegi', 'beda', 'kota', 'beda', 'orang', 'tua', 'ada', 'klarifikasi']"
solusipraktis,@abu_waras Mending jujur pak. Setelah dilantik katakan kpd rakyat bhw keuangan ngara tdk memungkinkan utk program makan sian dan susu gratis. Sebagai gantinya bpk bikin program miskinkan koruptor hentikan IKN gratiskan biaya pndidikan dr SD sampai PT. Basmi pinjol dan judol.,"['mending', 'jujur', 'pak', 'lantik', 'kata', 'rakyat', 'uang', 'ngara', 'mungkin', 'program', 'makan', 'sian', 'susu', 'gratis', 'ganti', 'bapak', 'bikin', 'program', 'miskin', 'koruptor', 'henti', 'ikn', 'gratis', 'biaya', 'pndidikan', 'sekolah', 'dasar', 'usaha', 'daftar', 'basmi', 'pinjam', 'online', 'judi', 'online']"
ndablonk_sablon,@abu_waras Pinjol aja pak... Kalo anggaran gak ada ,"['pinjam', 'online', 'pak', 'kalau', 'anggar', 'enggak']"
Aria_Consultant,@acaciagouw Oren ga tentu biasanya lambat hubungi kondar,"['enggak', 'biasa', 'lambat', 'hubung', 'kontak', 'darurat']"
itsprettycorin,@AcaPromos @penjwuaL Akhir bulan? Pusing mikirin tagihan spaylater spinjam kredivo akulaku &amp; tagihan legal lain nya mau japo? Cari joki trusted fee diakhir? Konsul pinjol di @penjwuaL aja dibantu meringankan cus sebelum telat bayar apalagi galbay bestie,"['akhir', 'bulan', 'pusing', 'pikir', 'tagih', 'tagih', 'legal', 'nya', 'mau', 'jatuh', 'tempo', 'cari', 'joki', 'percaya', 'biaya', 'akhir', 'konsultasi', 'pinjam', 'online', 'saja', 'bantu', 'ringan', 'cus', 'telat', 'bayar', 'gagal', 'bayar', 'bestie']"
angelalodies,@acicoal yyuu,['yyuu']
bstgirlfriend,@adakamiofficial Begitu syulit restrukturisasi ke aplikasi ini. Ada orang udh ke kantor yg di kuningan mau minta keringanan udh bawa surat tidak mampu dr kelurahan disuruh ke kantor CS Tangerang pas di ktr CS Tangerang ditolak keringanannya tega bgt sih. Aplikasi lain aja bs restrukturisasi ,"['sulit', 'restrukturisasi', 'aplikasi', 'ada', 'orang', 'kantor', 'mau', 'minta', 'ringan', 'bawa', 'surat', 'mampu', 'lurah', 'suruh', 'ke', 'kantor', 'layan', 'langgan', 'pas', 'di', 'kantor', 'layan', 'langgan', 'tolak', 'ringan', 'tega', 'banget', 'sih', 'aplikasi', 'saja', 'restrukturisasi']"
cangkemratuadil,@adakamiofficial PINJOL GILA ADAKAMI MENTEROR MENGANCAM FISIK KASUS PINJAM 10 JUTA DISURUH BAYAR 20 JUTA LEBIH WAHAI OJK ADAKAMI PINJOL GILA ELU SUAP BIAR RESMI BEGITU JANGAN PERNAH PINJAM PINJOL APAPUN ITU NAMANNYA ADAKAMI MENTEROR MENGANCAM INGAT SEBAR DAT ITU DILARANG OJK ANJING ADAKAMI,"['pinjam', 'online', 'gila', 'teror', 'ancam', 'fisik', 'kasus', 'pinjam', 'juta', 'suruh', 'bayar', 'juta', 'lebih', 'wahai', 'otoritas', 'jasa', 'uang', 'pinjam', 'online', 'gila', 'lu', 'suap', 'biar', 'resmi', 'jangan', 'pernah', 'pinjam', 'pinjam', 'online', 'apa', 'namannya', 'teror', 'ancam', 'ingat', 'sebar', 'dat', 'larang', 'otoritas', 'jasa', 'uang']"
cangkemratuadil,@adakamiofficial PINJOL ILEGAL DAN ILEGAL CARA CARA YANG DIGUNAKAN ANJING PREMAN,"['pinjam', 'online', 'ilegal', 'ilegal', 'cara', 'cara', 'guna', 'preman']"
cangkemratuadil,@adakamiofficial PINJOL RENTENIR JANGAN PERCAYA PINJOL PAKAI PREMAN DEBT KOLEKTOR INGAT KASUS NASABAH PINJAM 10 JUTA DISURUH BAYAR 20 JUTA SAMA ADAKAMI APAPUN ITU NAMANYA PINJOL RENTENIR BERGAYA PREMAN JALANAN. YANG TERLANJUR HUTANG JANGAN TAKUT DEBT KOLEKTOR LAWAN SAMPAI BERDARAH DARAH,"['pinjam', 'online', 'rentenir', 'jangan', 'percaya', 'pinjam', 'online', 'pakai', 'preman', 'hutang', 'kolektor', 'ingat', 'kasus', 'nasabah', 'pinjam', 'juta', 'suruh', 'bayar', 'juta', 'sama', 'apa', 'nama', 'pinjam', 'online', 'rentenir', 'gaya', 'preman', 'jalan', 'lanjur', 'hutang', 'jangan', 'takut', 'hutang', 'kolektor', 'lawan', 'darah', 'darah']"
